City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
607,Stryn,NO,35.01,scattered clouds,61.9045,6.7226,Visnes Hotel Stryn
609,Shimanovsk,RU,34.12,scattered clouds,52.0,127.7,Гостиница Домашняя
610,Vallentuna,SE,30.0,clear sky,59.5344,18.0776,First Hotel Lindö Park
611,Sokyryany,UA,43.41,overcast clouds,48.4475,27.4168,"Hotel ""Caprice"" m. Sokyriany"
612,Mayskiy,RU,42.8,clear sky,47.6931,40.1025,Dio Lakrua
614,Abilene,US,57.2,overcast clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
618,Vostok,RU,30.58,scattered clouds,46.4856,135.8833,
621,San Lawrenz,MT,55.0,clear sky,36.0553,14.204,San Andrea Hotel
627,Tazovskiy,RU,32.58,snow,67.4667,78.7,TazHostel
632,Carcassonne,FR,42.8,clear sky,43.25,2.1667,Domaine les Magasins
637,Lugovoy,KZ,48.18,scattered clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
638,Ikornnes,NO,39.2,overcast clouds,62.3873,6.557,Sjøbakken Camping Møre og Romsdal
640,Gryfice,PL,39.0,clear sky,53.9165,15.2003,"32. Motel. Accommodation, restaurant"
641,Ashington,GB,39.0,clear sky,50.9331,-0.3909,Tirol House
643,Matagami,CA,50.0,broken clouds,49.7502,-77.6328,Hôtel Matagami
644,Dolores,AR,57.16,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
646,Bournemouth,GB,37.0,few clouds,50.7205,-1.8795,Bournemouth East Cliff Hotel | Sure Collection by Best Western
647,Larsnes,NO,41.0,clear sky,62.2028,5.5773,Liset Feriesenter AS
648,Rostock,DE,32.0,scattered clouds,54.0887,12.1405,Das Hotel an der Stadthalle Rostock
649,Stokke,NO,42.01,scattered clouds,59.2236,10.3003,Furulund Kro & Motel AS
651,Khani,GE,46.4,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
654,Mrakovo,RU,35.04,clear sky,52.7161,56.6244,Putnik
655,Haapsalu,EE,36.0,overcast clouds,58.9431,23.5414,Fra Mare Thalasso Spa
656,Yar-Sale,RU,35.1,moderate rain,66.8333,70.8333,Yalemd
657,Nefteyugansk,RU,42.8,clear sky,61.0998,72.6035,Royal Plaza
658,Ust-Kulom,RU,48.79,overcast clouds,61.6864,53.6902,
662,Mujiayingzi,CN,55.13,scattered clouds,42.1167,118.7833,Jinjiang Hotel
665,Honningsvag,NO,32.0,scattered clouds,70.9821,25.9704,Nordkapp Vandrerhjem
668,Bridlington,GB,32.0,few clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
672,Nizhnyaya Salda,RU,43.74,scattered clouds,58.0776,60.7202,Salda
675,Mehamn,NO,32.0,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
682,Whitehorse,CA,44.6,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
683,Barvinkove,UA,45.37,broken clouds,48.9097,37.0205,"Khostel ""Fortetsya"""
684,Zheleznodorozhnyy,RU,54.0,overcast clouds,55.7503,38.0042,Hotel Dali
685,Joppatowne,US,57.2,moderate rain,39.4579,-76.3552,Hampton Inn & Suites Edgewood/Aberdeen-South
686,Zheshart,RU,37.24,overcast clouds,62.0731,49.5733,"Gostinitsa, Zao Zhfk"
687,Carballo,ES,52.0,clear sky,43.213,-8.691,Pazo do Souto
688,Miajadas,ES,57.99,overcast clouds,39.1513,-5.9084,Hotel Triana
