City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Tazovskiy,RU,2021-04-10 02:57:31,67.4667,78.7,273.98,95,100,9.27
165,Ilulissat,GL,2021-04-10 02:58:16,69.2167,-51.1,269.15,86,75,6.69
166,Waynesboro,US,2021-04-10 03:03:20,38.0685,-78.8895,287.59,100,40,4.63
167,Korla,CN,2021-04-10 03:00:59,41.7597,86.1469,287.37,44,54,3.31
168,Panjab,AF,2021-04-10 03:03:21,34.388,67.0233,279.27,36,1,1.91
169,Gornyy,RU,2021-04-10 03:03:21,55.1153,83.9059,277.59,56,12,0.89
170,Arraial Do Cabo,BR,2021-04-10 02:57:54,-22.9661,-42.0278,296.93,75,6,5.76
171,Codrington,AU,2021-04-10 02:57:35,-38.2667,141.9667,287.48,55,90,12.35
172,Taicheng,CN,2021-04-10 02:59:38,38.731,113.228,285.84,44,93,2.82
173,Safranbolu,TR,2021-04-10 03:03:21,41.2508,32.6942,271.27,95,88,0.72
174,Torbay,CA,2021-04-10 02:58:09,47.6666,-52.7314,275.93,100,90,4.63
175,Saint-Pierre,RE,2021-04-10 03:03:22,-21.3393,55.4781,298.15,69,100,1.37
176,Saskylakh,RU,2021-04-10 02:58:17,71.9167,114.0833,254.11,90,35,0.85
177,Port Elizabeth,ZA,2021-04-10 02:57:26,-33.918,25.5701,286.15,94,0,1.03
178,Kahului,US,2021-04-10 02:54:12,20.8947,-156.47,299.15,53,20,9.26
179,Alvand,IR,2021-04-10 03:03:22,36.3187,49.1678,284.83,57,100,1.77
180,Pasinler,TR,2021-04-10 03:01:21,39.9803,41.6764,274.15,75,75,3.09
181,Dunedin,NZ,2021-04-10 03:02:15,-45.8742,170.5036,287.04,89,99,1.79
182,Kudahuvadhoo,MV,2021-04-10 03:03:23,2.6708,72.8944,301.07,74,13,3.02
183,Georgetown,MY,2021-04-10 02:57:21,5.4112,100.3354,304.15,78,20,1.07
184,Upernavik,GL,2021-04-10 02:57:42,72.7868,-56.1549,260.98,96,100,5.75
185,Hukuntsi,BW,2021-04-10 03:03:24,-24.0,21.75,291.87,45,0,3.06
186,Bom Jesus,BR,2021-04-10 03:03:24,-9.0744,-44.3586,297.13,59,99,1.56
187,Cuenca,EC,2021-04-10 03:03:24,-2.8833,-78.9833,286.64,94,100,1.11
188,Constitucion,CL,2021-04-10 02:56:43,-35.3333,-72.4167,284.55,89,15,5.06
189,Anloga,GH,2021-04-10 03:03:25,5.7947,0.8973,299.15,89,20,2.06
190,Sao Joao Da Barra,BR,2021-04-10 03:02:34,-21.6403,-41.0511,296.03,71,0,2.13
191,Pailon,BO,2021-04-10 03:03:25,-17.65,-62.75,297.15,94,75,3.09
192,Pemberton,CA,2021-04-10 03:00:09,50.3164,-122.8027,277.15,93,100,3.09
193,Faanui,PF,2021-04-10 02:57:59,-16.4833,-151.75,301.25,69,90,3.32
194,Terra Santa,BR,2021-04-10 03:03:26,-2.1042,-56.4869,296.49,91,73,1.05
195,Dakar,SN,2021-04-10 03:03:26,14.6937,-17.4441,293.15,77,0,9.26
196,Cap Malheureux,MU,2021-04-10 03:03:26,-19.9842,57.6142,300.13,74,98,7.87
197,Thaba Nchu,ZA,2021-04-10 03:03:26,-29.2093,26.839,282.15,81,12,0.51
198,Tasiilaq,GL,2021-04-10 02:58:34,65.6145,-37.6368,268.15,63,100,4.63
199,Manoel Urbano,BR,2021-04-10 03:03:27,-8.8389,-69.2597,296.28,96,100,0.69
200,Ferrol,ES,2021-04-10 03:03:27,43.4832,-8.2369,286.48,10,12,8.49
201,Kemise,ET,2021-04-10 03:03:27,10.7167,39.8667,293.78,23,94,1.82
