City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Flagstaff,US,35.1981,-111.6513,61.0,15,1,26.46,clear sky
301,Besuki,ID,-7.7338,113.6979,80.15,79,72,1.23,broken clouds
302,Port Said,EG,31.2565,32.2841,60.8,82,0,5.75,clear sky
303,Atakpame,TG,7.5333,1.1333,74.95,76,97,4.76,overcast clouds
304,Kalmunai,LK,7.4167,81.8167,77.81,85,99,7.96,overcast clouds
305,Thonon-Les-Bains,FR,46.25,6.5,39.99,77,4,3.76,clear sky
306,Chas,IN,23.6333,86.1667,83.12,15,100,9.04,overcast clouds
307,Oriximina,BR,-1.7656,-55.8661,77.85,86,97,2.55,overcast clouds
308,Saint-Francois,FR,46.4154,3.9054,33.8,69,0,4.61,clear sky
309,Sur,OM,22.5667,59.5289,83.77,41,27,10.63,scattered clouds
310,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,81,1,4.61,clear sky
311,Agirish,RU,61.9247,63.0231,48.24,77,78,14.18,broken clouds
312,Hokitika,NZ,-42.7167,170.9667,55.51,88,91,1.43,overcast clouds
313,Bima,ID,-8.4667,118.7167,79.61,86,8,3.49,clear sky
314,Bud,US,39.447,-86.1758,57.0,38,1,13.8,clear sky
315,Husavik,IS,66.0449,-17.3389,41.0,70,40,3.44,scattered clouds
316,Balaipungut,ID,1.05,101.2833,75.2,100,40,1.66,scattered clouds
317,Jepara,ID,-5.1695,105.7044,75.79,93,95,2.13,overcast clouds
318,Arandis,NA,-22.4167,14.9667,79.0,29,0,5.01,clear sky
319,Kasangulu,CD,-4.5911,15.1708,77.0,83,40,6.91,moderate rain
320,Clarence Town,AU,-32.5833,151.7833,73.0,49,0,6.91,clear sky
321,Lundazi,ZM,-12.2929,33.1782,59.05,93,63,6.44,broken clouds
322,Sosnovo-Ozerskoye,RU,52.5249,111.5418,26.11,60,29,8.68,scattered clouds
323,Hasaki,JP,35.7333,140.8333,50.0,53,20,16.11,few clouds
324,Emerald,AU,-23.5333,148.1667,73.99,56,1,8.05,clear sky
325,Aykhal,RU,66.0,111.5,16.5,96,80,3.33,broken clouds
326,Saint George,US,37.1041,-113.5841,71.6,15,1,16.11,clear sky
327,Pauini,BR,-7.7136,-66.9764,74.32,96,95,1.52,light rain
328,Timmins,CA,48.4669,-81.3331,51.8,66,40,8.05,scattered clouds
329,Faanui,PF,-16.4833,-151.75,81.99,73,100,11.99,overcast clouds
330,Taoudenni,ML,22.6783,-3.9836,87.1,12,8,12.82,clear sky
331,Akyab,MM,20.15,92.9,78.51,83,91,2.08,overcast clouds
332,Hryshkivtsi,UA,49.9353,28.6038,45.86,76,97,3.09,overcast clouds
333,Gambela,ET,8.25,34.5833,80.92,51,75,2.17,broken clouds
334,Carlyle,US,38.6103,-89.3726,60.8,41,1,11.5,clear sky
335,Nuevo Casas Grandes,MX,30.4167,-107.9167,79.0,10,100,15.99,overcast clouds
336,Abu Samrah,SY,35.3029,37.1841,53.76,58,10,1.83,clear sky
